BENCHMARK,P1,P2,P3,P4,P5,S1,S2,S3,S4,S5,Speedup
ASC_Sequoia/AMGmk,20.226,20.221,20.222,20.224,20.222,26.605,26.605,26.605,26.608,26.605,0.76
ASC_Sequoia/IRSmk,6.014,6.013,6.012,6.013,6.013,6.013,6.011,6.013,6.011,6.013,1
BenchmarkGame/fannkuch,8.799,8.799,8.798,8.8,8.799,8.798,8.8,8.799,8.8,8.801,1
BenchmarkGame/n-body,18.101,18.105,19.154,18.092,18.094,2.322,2.322,2.322,2.322,2.322,7.89
BenchmarkGame/nsieve-bits,1.92,1.746,1.748,1.746,1.746,1.746,1.746,1.745,1.747,1.746,1.02
BenchmarkGame/partialsums,1.194,1.194,1.194,1.196,1.194,1.194,1.194,1.315,1.196,1.195,0.98
BenchmarkGame/puzzle,1.921,1.92,1.921,1.922,1.921,1.921,1.921,1.921,1.921,1.921,1
BenchmarkGame/spectral-norm,1.918,1.924,1.923,1.921,1.924,1.92,1.922,1.921,1.921,1.922,1
BitBench/drop3,0.99,1.088,0.988,0.987,0.989,0.988,0.989,0.988,0.989,0.988,1.02
BitBench/five11,5.477,5.469,6.01,5.465,6.021,3.398,3.398,3.398,3.398,3.398,1.67
BitBench/uudecode,0.819,0.819,0.743,0.819,0.819,0.819,0.819,0.818,0.743,0.819,1
BitBench/uuencode,8.801,8.801,8.801,8.799,8.799,8.799,8.799,8.803,8.8,8.799,1
CoyoteBench/huffbench,60.645,60.645,60.652,59.584,60.645,59.581,59.583,59.582,59.583,59.585,1.01
CoyoteBench/lpbench,13.841,13.841,13.84,13.842,13.842,13.842,13.842,13.842,13.846,13.843,1
Dhrystone/dry,9.677,9.68,9.679,9.678,9.68,9.678,9.679,9.677,10.646,9.68,0.98
Dhrystone/fldry,10.645,11.71,10.646,10.645,10.646,10.647,10.646,12.773,10.645,10.647,0.98
McGill/exptree,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.002,1.15
MiBench/automotive-basicmath,0.562,0.562,0.561,0.56,0.561,0.561,0.561,0.561,0.562,0.559,1
MiBench/automotive-bitcount,0.351,0.351,0.35,0.349,0.351,0.351,0.319,0.35,0.351,0.319,1.04
MiBench/consumer-jpeg,0.016,0.013,0.016,0.016,0.013,0.016,0.013,0.019,0.018,0.013,0.94
MiBench/office-stringsearch,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
MiBench/security-blowfish,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.003,1.15
MiBench/security-sha,0.087,0.072,0.072,0.079,0.065,0.064,0.07,0.088,0.079,0.08,0.98
MiBench/telecomm-CRC32,0.384,0.384,0.424,0.424,0.383,0.424,0.384,0.385,0.424,0.384,1
Misc/dt,2.555,2.555,2.553,2.555,2.554,2.552,2.555,2.554,2.555,2.555,1
Misc/evalloop,1.446,1.445,1.444,1.444,1.446,1.444,1.444,1.445,1.445,1.445,1
Misc/fbench,6.613,6.613,6.611,6.614,6.612,6.614,6.612,6.614,6.614,6.613,1
Misc/ffbench,1.746,1.746,1.746,1.751,1.747,1.747,1.747,1.746,1.748,1.748,1
Misc/flops-1,3.089,3.088,3.09,3.088,3.089,3.089,3.09,3.088,3.088,3.088,1
Misc/flops-2,2.111,2.111,2.113,2.112,2.111,2.112,2.112,2.111,2.111,2.111,1
Misc/flops-3,3.736,3.736,3.736,3.736,3.736,3.735,3.736,3.734,3.736,3.735,1
Misc/flops-4,1.446,1.589,1.444,1.445,1.445,1.445,1.444,1.443,1.443,1.446,1.02
Misc/flops-5,3.09,3.088,3.088,3.09,3.088,3.087,3.089,3.088,3.088,3.088,1
Misc/flops-6,2.553,2.554,2.554,2.555,2.554,2.554,2.554,2.554,2.555,2.554,1
Misc/flops-7,4.519,4.519,4.519,4.519,4.519,4.519,4.519,4.519,4.519,4.519,1
Misc/flops-8,2.809,2.809,2.809,2.809,2.81,2.809,2.809,2.809,2.809,2.808,1
Misc/fp-convert,7.274,7.275,7.274,7.275,7.274,7.273,7.275,8.001,7.273,7.273,0.98
Misc/himenobmtxpa,4.111,4.111,4.112,4.111,4.111,4.113,4.112,4.111,4.111,4.111,1
Misc/lowercase,39.367,39.367,39.382,39.368,39.366,40.433,40.431,40.436,40.431,40.43,0.97
Misc/mandel,1.314,1.444,1.446,1.446,1.445,1.444,1.444,1.445,1.444,1.443,0.98
Misc/mandel-2,4.109,4.108,4.108,4.113,4.109,4.109,3.733,4.109,4.109,4.11,1.02
Misc/matmul_f64_4x4,42.559,43.629,41.496,43.623,41.502,6.611,6.614,6.613,6.614,6.613,6.44
Misc/perlin,12.774,12.773,12.771,12.773,12.773,12.773,12.774,12.773,12.774,12.773,1
Misc/pi,34.049,35.113,35.114,18.093,35.111,1.445,1.444,1.446,1.444,1.444,21.8
Misc/ReedSolomon,8.799,8.799,8.8,8.799,8.799,8.801,8.799,8.801,8.8,8.799,1
Misc/revertBits,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,1.08
Misc/richards_benchmark,2.809,2.809,2.808,2.809,2.809,2.81,2.809,2.809,2.809,2.809,1
Misc/salsa20,21.282,21.283,21.283,21.282,21.283,21.285,21.282,21.283,21.284,23.414,0.98
Misc/whetstone,7.272,7.273,7.273,7.273,7.273,7.273,7.273,7.274,7.273,7.272,1
Shootout/ary3,6.613,6.615,6.615,6.612,6.615,6.615,6.614,6.613,6.616,6.614,1
Shootout/hash,5.469,5.468,5.468,5.468,4.972,5.468,5.47,5.47,5.468,5.468,0.98
Shootout/heapsort,4.111,4.112,4.523,4.111,4.111,4.111,4.522,4.523,4.111,4.523,0.96
Shootout/hello,0.002,0.003,0.002,0.003,0.001,0.003,0.003,0.003,0.002,0.003,0.79
Shootout/lists,28.73,31.922,30.857,28.73,30.859,30.857,30.858,36.177,28.73,28.733,0.97
Shootout/matrix,14.901,14.901,14.9,14.901,14.9,14.901,14.901,14.901,14.906,14.901,1
Shootout/methcall,9.679,9.679,9.683,9.682,9.68,9.68,9.68,9.683,9.681,9.678,1
Shootout/nestedloop,29.794,29.794,29.793,29.793,29.794,29.795,29.795,29.798,29.793,29.795,1
Shootout/objinst,6.614,6.614,6.613,6.612,6.612,6.614,6.614,6.613,6.615,6.618,1
Shootout/random,4.109,4.108,4.108,4.108,4.11,4.109,4.11,4.109,4.108,4.108,1
Shootout/sieve,22.348,22.348,22.348,22.348,22.347,22.347,22.347,22.347,22.346,22.348,1
Shootout/strcat,0.424,0.422,0.423,0.422,0.423,0.423,0.422,0.421,0.423,0.422,1
Stanford/Bubblesort,0.095,0.095,0.093,0.085,0.095,0.105,0.095,0.095,0.095,0.105,0.94
Stanford/FloatMM,2.324,2.323,2.321,2.322,2.322,2.323,2.323,2.323,2.323,2.322,1
Stanford/IntMM,0.009,0.01,0.009,0.011,0.009,0.009,0.009,0.007,0.009,0.009,1.12
Stanford/Puzzle,0.384,0.384,0.384,0.384,0.35,0.386,0.348,0.35,0.383,0.384,1.02
Stanford/Queens,0.082,0.071,0.072,0.07,0.071,0.065,0.048,0.065,0.067,0.052,1.23
Stanford/RealMM,0.01,0.009,0.009,0.012,0.01,0.011,0.011,0.008,0.009,0.009,1.04
Ptrdist/anagram,2.111,2.111,2.111,2.111,2.11,2.112,2.112,2.111,2.111,2.113,1
Ptrdist/ft,1.747,1.588,1.588,1.588,1.586,1.59,1.746,1.588,1.746,1.588,0.98
Ptrdist/ks,3.088,3.088,3.087,3.09,3.088,3.088,3.089,3.089,3.089,3.089,1
Trimaran/enc-md5,5.466,5.467,5.467,5.467,5.467,5.467,5.466,5.467,5.467,5.467,1
Trimaran/enc-pc1,2.552,2.554,2.555,2.553,2.553,2.553,2.553,2.553,2.555,2.555,1
Trimaran/netbench-crc,1.747,1.922,1.746,1.746,1.746,1.746,1.748,1.75,1.748,1.748,1.02
Trimaran/netbench-url,9.677,9.678,9.677,9.679,9.677,9.68,9.677,9.678,9.677,9.679,1
NPB-serial/is,14.899,14.901,14.902,14.902,14.902,15.967,14.901,14.901,14.903,14.901,0.99
VersaBench/8b10b,0.166,0.166,0.165,0.165,0.165,0.166,0.167,0.165,0.165,0.165,1
VersaBench/bmm,8,8.799,8.799,8,8,8.799,8.802,8.8,8.8,8.799,0.95
VersaBench/ecbdes,4.11,4.108,4.109,4.11,4.108,4.108,4.107,4.11,4.108,4.11,1
McCat/05-eks,0.025,0.019,0.016,0.02,0.018,0.014,0.016,0.015,0.02,0.019,1.17
Prolangs-C/agrep,0.01,0.013,0.012,0.011,0.009,0.011,0.009,0.01,0.01,0.012,1.06
Prolangs-C/allroots,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.001,0.003,1.08
Prolangs-C/assembler,0.003,0.001,0.001,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.85
Prolangs-C/plot2fig,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.001,1.08
